seq_id;Rota Real;Rota Gerada;Profit Real;Profit Gerado;Budget Real;Budget Gerado;Recall;Recall Total;Precision; Precision Total;Tempo;Tempo Total
537;"{21, 20, 29, 28}";"{21, 20, 15, 27, 24, 1, 5, 2, 28}";709.573;7186.11;9039;7553;0.75;0.75;0.333333;0.333333;0.29705;0.29705
537;"{21, 20, 29, 28}";"{21, 20, 15, 27, 24, 1, 5, 2, 28}";709.573;7186.11;9039;7553;0.75;0.75;0.333333;0.333333;0.266915;0.563965
4226;"{4, 7, 1, 5}";"{4, 2, 7, 28, 24, 1, 3, 5}";1148;6924.01;3562;3514;1;0.833333;0.5;0.388889;0.042582;0.606547
2764;"{1, 24, 6}";"{1, 3, 5, 24, 28, 7, 19, 2, 4, 11, 6}";1195.02;7542.52;7438;7261;1;0.875;0.272727;0.359848;0.096166;0.702713
1472;"{18, 5, 26}";"{18, 26}";602.914;242.414;2233;1925;0.666667;0.833333;1;0.487879;0.001636;0.704349
754;"{26, 18, 5}";"{26, 24, 1, 3, 5}";607.534;1742.07;4175;2284;0.666667;0.805556;0.4;0.473232;0.044936;0.749285
822;"{3, 26, 18}";"{3, 5, 18}";374.674;556;3063;748;0.666667;0.785714;0.666667;0.500866;0.002078;0.751363
1471;"{6, 1, 3}";"{6, 7, 28, 24, 1, 3}";543.326;2000.42;4447;4155;1;0.8125;0.5;0.500758;0.031468;0.782831
4380;"{5, 18, 3}";"{5, 24, 28, 1, 3}";558;1896.52;1687;1553;0.666667;0.796296;0.4;0.489562;0.007269;0.7901
3823;"{5, 19, 26}";"{5, 3, 1, 2, 24, 18, 26}";724.712;6315.21;6474;6416;0.666667;0.783333;0.285714;0.469177;0.072386;0.862486
1472;"{18, 5, 26}";"{18, 26}";602.914;242.414;2233;1925;0.666667;0.772727;1;0.517434;0.002288;0.864774
1471;"{6, 1, 3}";"{6, 7, 28, 24, 1, 3}";543.326;2000.42;4447;4155;1;0.791667;0.5;0.515981;0.033022;0.897796
2485;"{3, 1, 5, 24}";"{3, 5, 18, 1, 2, 28, 24}";1552.4;6466.31;10294;10259;1;0.807692;0.571429;0.520246;0.06456;0.962356
754;"{26, 18, 5}";"{26, 24, 1, 3, 5}";607.534;1742.07;4175;2284;0.666667;0.797619;0.4;0.511657;0.046093;1.00845
1820;"{1, 3, 26}";"{1, 3, 5, 18, 26}";590.188;1015.19;2898;1984;1;0.811111;0.6;0.517547;0.009226;1.01768
2485;"{3, 1, 5, 24}";"{3, 5, 18, 1, 2, 28, 24}";1552.4;6466.31;10294;10259;1;0.822917;0.571429;0.520915;0.067289;1.08496
3823;"{5, 19, 26}";"{5, 3, 1, 2, 24, 18, 26}";724.712;6315.21;6474;6416;0.666667;0.813725;0.285714;0.507079;0.074525;1.15949
1820;"{1, 3, 26}";"{1, 3, 5, 18, 26}";590.188;1015.19;2898;1984;1;0.824074;0.6;0.512241;0.00844;1.16793
1820;"{1, 3, 26}";"{1, 3, 5, 18, 26}";590.188;1015.19;2898;1984;1;0.833333;0.6;0.51686;0.008112;1.17604
3845;"{19, 13, 4}";"{19, 4}";535.338;367.838;6655;6434;0.666667;0.825;1;0.541017;0.011089;1.18713
4226;"{4, 7, 1, 5}";"{4, 2, 7, 28, 24, 1, 3, 5}";1148;6924.01;3562;3514;1;0.833333;0.5;0.539064;0.052532;1.23966
1820;"{1, 3, 26}";"{1, 3, 5, 18, 26}";590.188;1015.19;2898;1984;1;0.840909;0.6;0.541834;0.008546;1.24821
1471;"{6, 1, 3}";"{6, 7, 28, 24, 1, 3}";543.326;2000.42;4447;4155;1;0.847826;0.5;0.540015;0.032549;1.28076
4142;"{19, 13, 2, 3, 24}";"{19, 1, 3, 5, 18, 24}";5777.26;1787.06;7481;6418;0.6;0.8375;0.5;0.538348;0.025648;1.30641
1733;"{6, 11, 4}";"{6, 11, 7, 19, 2, 15, 27, 28, 24, 3, 1, 4}";609.19;7859.85;11360;11304;1;0.844;0.25;0.526814;0.166437;1.47284
1472;"{18, 5, 26}";"{18, 26}";602.914;242.414;2233;1925;0.666667;0.837179;1;0.545013;0.0016;1.47444
4142;"{19, 13, 2, 3, 24}";"{19, 1, 3, 5, 18, 24}";5777.26;1787.06;7481;6418;0.6;0.828395;0.5;0.543346;0.024845;1.49929
4226;"{4, 7, 1, 5}";"{4, 2, 7, 28, 24, 1, 3, 5}";1148;6924.01;3562;3514;1;0.834524;0.5;0.541798;0.046327;1.54561
3823;"{5, 19, 26}";"{5, 3, 1, 2, 24, 18, 26}";724.712;6315.21;6474;6416;0.666667;0.828736;0.285714;0.532968;0.072535;1.61815
3845;"{19, 13, 4}";"{19, 4}";535.338;367.838;6655;6434;0.666667;0.823333;1;0.548535;0.010872;1.62902
3845;"{19, 13, 4}";"{19, 4}";535.338;367.838;6655;6434;0.666667;0.81828;1;0.563099;0.011043;1.64006
2764;"{1, 24, 6}";"{1, 3, 5, 24, 28, 7, 19, 2, 4, 11, 6}";1195.02;7542.52;7438;7261;1;0.823958;0.272727;0.554025;0.10124;1.7413
1820;"{1, 3, 26}";"{1, 3, 5, 18, 26}";590.188;1015.19;2898;1984;1;0.829293;0.6;0.555418;0.008126;1.74943
1820;"{1, 3, 26}";"{1, 3, 5, 18, 26}";590.188;1015.19;2898;1984;1;0.834314;0.6;0.556729;0.008538;1.75797
3845;"{19, 13, 4}";"{19, 4}";535.338;367.838;6655;6434;0.666667;0.829524;1;0.569394;0.011633;1.7696
2485;"{3, 1, 5, 24}";"{3, 5, 18, 1, 2, 28, 24}";1552.4;6466.31;10294;10259;1;0.834259;0.571429;0.56945;0.066151;1.83575
